country,year,pim_produced_plus_intan,cwon_pca
Iceland,2019,79030.14161168129,141884519629.287
Ireland,1995,385472.20475055295,129272006869.598
Ireland,1996,404228.1069170605,137133623763.149
Ireland,1997,426962.0525070082,147190137003.369
Ireland,1998,452834.7586782772,159188321000.826
Ireland,1999,480433.4650610118,173355462714.521
Ireland,2000,510278.908718014,188245344597.446
Ireland,2001,539165.6673813603,204325369276.933
Ireland,2002,566911.7798698554,221506891852.918
Ireland,2003,594376.5866831597,240488089882.727
Ireland,2004,623516.3868455654,262273094035.469
Ireland,2005,659550.7859451717,289576275971.731
Ireland,2006,704403.7813089292,320030280732.444
Ireland,2007,762065.0681006773,350502851748.899
Ireland,2008,822853.2490335027,374519182737.191
Ireland,2009,869680.1967000493,389412884995.344
Ireland,2010,897909.9987808741,397563148364.19
Ireland,2011,918844.061309381,404722090506.563
Ireland,2012,939943.0753871789,415602684757.56
Ireland,2013,973159.6325274551,424112869503.188
Ireland,2014,998644.3105622749,438139061900.433
Ireland,2015,1039932.9991933836,469943720324.099
Ireland,2016,1112653.4926930084,526965764479.607
Ireland,2017,1227748.7533487983,577155766503.32
Ireland,2018,1329858.3431134215,617668176140.366
Ireland,2019,1406987.6668209997,717042045264.811
Israel,1995,349661.52588679007,343497653712.452
Israel,1996,370044.9142764133,374643380903.249
Israel,1997,392985.5691972234,405152520767.12
Israel,1998,417746.53082164534,432809274355.738
Israel,1999,443539.6093850113,460480498988.582
Israel,2000,470306.57881295914,488715210746.35
Israel,2001,497875.6660021895,513705292803.314
Israel,2002,525730.0222307062,534177409309.378
Israel,2003,553153.6312499518,550963529848.481
Israel,2004,579705.6361756632,568050060558.766
Israel,2005,605332.1414483562,585577318526.392
Israel,2006,630244.9654069496,605922363331.912
Israel,2007,654665.8589771182,630014743494.517
Israel,2008,678719.4119536581,655186594984.997
Israel,2009,702327.0879516028,679721638081.729
Israel,2010,724210.4734358565,706433423375.43
Israel,2011,745391.2588541537,740116997177.881
Israel,2012,767099.6002179041,775624773802.138
Israel,2013,789431.6083502108,812762481881.608
Israel,2014,813538.1968578057,849660880618.019
Israel,2015,839911.317588299,886255240521.719
Israel,2016,867493.0009387914,932092250029.566
Israel,2017,896637.1732377596,980402138463.399
Israel,2018,927259.9926658716,1031629158020.58
Israel,2019,959468.1214350272,1082089962260.98
Italy,1995,9279902.668175222,3566753440514.69
Italy,1996,9573756.294403806,3644849075418.1
Italy,1997,9832563.594814591,3723121856522.28
Italy,1998,10065853.790199993,3805711602136.46
Italy,1999,10272198.236303326,3892897207994.26
Italy,2000,10475234.701530274,3992772930720.05
Italy,2001,10693659.577332992,4093202183979.5
Italy,2002,10906456.121294009,4201299544504.86
Italy,2003,11120457.504712267,4308216938116.92
Italy,2004,11319927.146438647,4420168629738.23
Italy,2005,11548278.984232627,4529249325295.36
Italy,2006,11771354.71545817,4637460187001.5
Italy,2007,12027934.11249017,4750355519278.1
Italy,2008,12288371.486530367,4852423224117.14
Italy,2009,12525919.997292839,4916795736060.15
Italy,2010,12685107.747337645,4977151843699.58
Italy,2011,12828645.515734661,5028965490332.38
Italy,2012,12978161.417979006,5060529562697.55
Italy,2013,13067356.5284358,5100390232562.63
Italy,2014,13128883.259611236,5130662592901.21
Italy,2015,13195213.499043494,5140116403189.7
Italy,2016,13273316.618762145,5156005208033.74
Italy,2017,13373965.173115196,5177693079881.2
Italy,2018,13493605.669331012,5203511000641.22
Italy,2019,13622401.000675816,5206476619530.71
Japan,1995,19014718.002528854,26693268302589.9
Japan,1996,19649504.74322586,27610341716610.7
Japan,1997,20360377.125033285,28399409071068.8
Japan,1998,21007185.812632248,29026039042861.8
Japan,1999,21540615.988092925,29560610214103.4
Japan,2000,21979381.266626764,30051666041396.8
Japan,2001,22424845.346540317,30689685518089.2
Japan,2002,22837119.402432498,31234146280122.0
Japan,2003,23144017.785965443,31710979610907.6
Japan,2004,23432925.602969043,32111812454389.6
Japan,2005,23717074.983984534,32515500625674.3
Japan,2006,24000937.891900327,32859889556809.9
Japan,2007,24262657.883311678,33116939853101.2
Japan,2008,24487269.595583692,33243171842482.7
Japan,2009,24686888.19775919,33149019583710.5
Japan,2010,24673842.200043757,33025132906835.5
Japan,2011,24691013.818424664,32801624175001.7
Japan,2012,24762131.395151556,32610525884911.0
Japan,2013,24886939.54242841,32501303264054.8
Japan,2014,24945891.192497,32438267432037.0
Japan,2015,25051374.75150734,32393112185393.0
Japan,2016,25134991.332673054,32335295832839.0
Japan,2017,25220294.27652246,32312206890212.4
Japan,2018,25354205.244574264,32276811042479.8
Japan,2019,25486583.634336896,32246846325380.5
Republic of Korea,1995,1661441.4010949577,919468107962.576
Republic of Korea,1996,1857839.0809355534,1054729064297.91
Republic of Korea,1997,2078791.2743741942,1183941317680.61
Republic of Korea,1998,2310053.834257424,1267543868127.69
Republic of Korea,1999,2524501.172945628,1363553840267.94
Republic of Korea,2000,2730707.676292149,1480945459815.28
Republic of Korea,2001,2935675.5537079615,1597279193351.55
Republic of Korea,2002,3139937.644584919,1723685858037.56
Republic of Korea,2003,3348149.469481345,1857457107260.56
Republic of Korea,2004,3564869.6755295754,1993421595593.89
Republic of Korea,2005,3793418.2759661684,2127362574820.89
Republic of Korea,2006,4035104.255750224,2267970048665.74
Republic of Korea,2007,4290554.252000989,2415189161499.79
Republic of Korea,2008,4558189.940345296,2557500687324.25
Republic of Korea,2009,4837875.800700034,2693037415225.84
Republic of Korea,2010,5110049.74025611,2839659081682.35
Republic of Korea,2011,5385511.746571507,2984876397904.43
Republic of Korea,2012,5664994.363372751,3117859195585.52
Republic of Korea,2013,5942910.8156664455,3251934599424.39
Republic of Korea,2014,6220285.219462653,3392521933324.31
Republic of Korea,2015,6497426.794329985,3543078718499.63
Republic of Korea,2016,6768775.813782396,3708611677040.93
Republic of Korea,2017,7038231.659064841,3902547851176.84
Republic of Korea,2018,7317022.400508064,4081389661049.02
Republic of Korea,2019,7598234.386213664,4239775343646.94
Latvia,1995,342649.2125825415,94030404239.2646
Latvia,1996,337553.6290911288,92525018390.6694
Latvia,1997,333206.4959765289,91310968110.235
Latvia,1998,329318.58355528873,91345500210.6979
Latvia,1999,326740.90718880977,91352907740.1668
Latvia,2000,324091.99845830986,92100523113.8737
Latvia,2001,321910.5845997517,93494337086.1872
Latvia,2002,320733.7726327344,94321344682.9051
Latvia,2003,319794.03603416635,95246928848.1098
Latvia,2004,320393.30120039196,97247739334.0983
Latvia,2005,323090.5880527473,100016155647.966
Latvia,2006,327498.49726126797,102855589974.269
Latvia,2007,335289.59382788173,106411305395.482
Latvia,2008,345117.30396149296,108668508186.896
Latvia,2009,352365.02556645084,108332074241.549
Latvia,2010,351409.87144056056,106882020208.277
Latvia,2011,349175.9504374747,106535256672.697
Latvia,2012,350562.36223236244,107057402329.516
Latvia,2013,352232.85859080584,107259742751.113
Latvia,2014,353234.96147922456,107468820139.303
Latvia,2015,353987.14023914805,107618849427.928
Latvia,2016,354950.9027867881,107316012844.602
Latvia,2017,355218.8280197883,107428255920.421
Latvia,2018,356516.5339824365,108019499004.989
Latvia,2019,359430.88683167915,108626218946.088
Lithuania,1995,194364.07482892688,55083479736.1962
Lithuania,1996,192227.16565445164,55435927661.1381
Lithuania,1997,190937.9992673364,56378119554.679
Lithuania,1998,191350.16465987416,57828152125.1599
Lithuania,1999,192952.43560124244,58876073814.7466
Lithuania,2000,193215.34923408405,59565794067.5218
Lithuania,2001,192693.11850615742,60459117572.3616
Lithuania,2002,192981.91096295117,61606288890.5904
