species,event_year,kind,obs_redist,env_pred_redist,hist_pred_redist,n_routes
5930,2009,cold,0.0,0.3819655521783181,0.2624113475177305,987
5930,2014,cold,0.0,0.5324813631522897,0.21299254526091588,939
5950,2012,hot,0.0,0.17875647668393782,0.2849740932642487,386
5950,2016,hot,0.0,0.11320754716981132,0.33962264150943394,371
5950,2008,cold,0.0,0.5152224824355972,0.27400468384074944,427
5950,2009,cold,0.0,0.5632754342431762,0.31017369727047145,403
5950,2014,cold,0.0,0.2801120448179272,0.31932773109243695,357
5970,2012,hot,0.0,0.27455357142857145,0.27455357142857145,448
5970,2016,hot,0.0,0.3493975903614458,0.3253012048192771,415
5970,2008,cold,0.0,0.4675324675324675,0.3268398268398268,462
5970,2009,cold,0.0,0.22818791946308725,0.2841163310961969,447
5970,2014,cold,0.0,0.1990632318501171,0.26229508196721313,427
5980,2012,hot,0.0,0.5369565217391304,0.22282608695652173,920
5980,2016,hot,0.0,0.39015606242497,0.20888355342136855,833
5980,2008,cold,0.0,0.2823529411764706,0.3058823529411765,935
5980,2009,cold,0.0,0.6421621621621622,0.40756756756756757,925
5980,2014,cold,0.0,0.3185011709601874,0.17681498829039813,854
6080,2012,hot,0.0,0.15508021390374332,0.19786096256684493,374
6080,2016,hot,0.0,0.21220930232558138,0.23255813953488372,344
6080,2008,cold,0.0,0.2802056555269923,0.2930591259640103,389
6080,2009,cold,0.0,0.5066666666666667,0.31733333333333336,375
6080,2014,cold,0.0,0.2140845070422535,0.2563380281690141,355
6110,2012,hot,0.0,0.3238095238095238,0.26666666666666666,420
6110,2016,hot,0.0,0.5015873015873016,0.27936507936507937,315
6110,2008,cold,0.0,0.4646017699115044,0.3141592920353982,452
6110,2009,cold,0.0,0.30892448512585813,0.32036613272311215,437
6110,2014,cold,0.0,0.446064139941691,0.30612244897959184,343
6120,2012,hot,0.0,0.6016260162601627,0.19715447154471544,492
6120,2016,hot,0.0,0.13195876288659794,0.1422680412371134,485
6120,2008,cold,0.0,0.2742857142857143,0.259047619047619,525
6120,2009,cold,0.0,0.33595284872298625,0.2043222003929273,509
6120,2014,cold,0.0,0.4188034188034188,0.12393162393162394,468
6130,2012,hot,0.0,0.5143072289156626,0.2507530120481928,1328
6130,2016,hot,0.0,0.08705882352941176,0.24,1275
6130,2008,cold,0.0,0.24584237165582068,0.2002892263195951,1383
6130,2009,cold,0.0,0.3033381712626996,0.19085631349782292,1378
6130,2014,cold,0.0,0.7152,0.276,1250
6140,2012,hot,0.0,0.2778625954198473,0.21068702290076335,655
6140,2016,hot,0.0,0.09582689335394126,0.23956723338485317,647
6140,2008,cold,0.0,0.1452513966480447,0.11592178770949721,716
6140,2009,cold,0.0,0.3994252873563218,0.1235632183908046,696
6140,2014,cold,0.0,0.14516129032258066,0.21935483870967742,620
6170,2012,hot,0.0,0.4457831325301205,0.4819277108433735,249
6170,2016,hot,0.0,0.2702702702702703,0.3938223938223938,259
6170,2008,cold,0.0,0.4075342465753425,0.4931506849315068,292
6170,2009,cold,0.0,0.3874538745387454,0.3837638376383764,271
6170,2014,cold,0.0,0.3357664233576642,0.34306569343065696,274
6190,2012,hot,0.0,0.31960461285008235,0.20757825370675453,607
6190,2016,hot,0.0,0.1419141914191419,0.297029702970297,606
6190,2008,cold,0.0,0.48623853211009177,0.2691131498470948,654
6190,2009,cold,0.0,0.4039039039039039,0.18768768768768768,666
6190,2014,cold,0.0,0.2733333333333333,0.24833333333333332,600
6240,2012,hot,0.0,0.1246040126715945,0.12988384371700107,947
6240,2016,hot,0.0,0.07709750566893424,0.09750566893424037,882
6240,2008,cold,0.0,0.3728813559322034,0.25523429710867396,1003
6240,2009,cold,0.0,0.3237113402061856,0.16804123711340208,970
6240,2014,cold,0.0,0.1036036036036036,0.12274774774774774,888
6270,2012,hot,0.0,0.18478260869565216,0.22981366459627328,644
6270,2016,hot,0.0,0.17095310136157338,0.2708018154311649,661
